,account_id,amount,authorized_date,category_id,date,iso_currency_code,merchant_name,name,payment_channel,pending,personal_finance_primary_category,personal_finance_detailed_category,personal_finance_confidence_level,transaction_id,transaction_type
0,Pva3WNwWvDCezB1EG6Nks37399kEMwco65QAl,25.0,2024-10-20,16001000,2024-10-21,USD,,CREDIT CARD 3333 PAYMENT *//,other,False,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOW,x1e4qkJq1nTxN9nqRbBdu5vNm8o3PxH6KExnM,special
1,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,5.4,2024-10-20,22016000,2024-10-21,USD,Uber,Uber 063015 SF**POOL**,online,False,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,VERY_HIGH,Kvzqd3mdvDCv38bklrARCzXLPVq87ecRDveVb,special
2,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,-500.0,2024-10-19,22001000,2024-10-19,USD,United Airlines,United Airlines,in store,False,TRAVEL,TRAVEL_FLIGHTS,VERY_HIGH,WvQjMq9MvDCJRlnzNZKnTw4ePevVw3c63vepQ,special
3,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,12.0,2024-10-18,13005032,2024-10-18,USD,McDonald's,McDonald's,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_FAST_FOOD,VERY_HIGH,A8GAVymV8EFE6Lvw9xQvuaRdXd3la7U9LyqgL,place
4,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,4.33,2024-10-18,13005043,2024-10-18,USD,Starbucks,Starbucks,in store,False,FOOD_AND_DRINK,FOOD_AND_DRINK_COFFEE,VERY_HIGH,Gvl9zKmzvDCaZyG6qnRGuyzkGkJMyPi6K8Dbx,place
5,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,89.4,2024-10-16,13005000,2024-10-17,USD,FUN,SparkFun,in store,False,GENERAL_MERCHANDISE,GENERAL_MERCHANDISE_OTHER_GENERAL_MERCHANDISE,LOW,yLQNKJpKLnfWPVL6dbxkTL5d1QkeaKu48pBEJ,place
6,Pva3WNwWvDCezB1EG6Nks37399kEMwco65QAl,-4.22,2024-10-16,21009000,2024-10-16,USD,,INTRST PYMNT,other,False,INCOME,INCOME_WAGES,LOW,VvePLk9LvDCwGJ4ab3Kmsa1Qeb9PZMu9ZNrxw,special
7,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,6.33,2024-10-03,22016000,2024-10-04,USD,Uber,Uber 072515 SF**POOL**,online,False,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,VERY_HIGH,9QL17yZ7QEHRV638LxjQUK7L6w4ezkf49M6ZX,special
8,Pva3WNwWvDCezB1EG6Nks37399kEMwco65QAl,25.0,2024-09-20,16001000,2024-09-21,USD,,CREDIT CARD 3333 PAYMENT *//,other,False,LOAN_PAYMENTS,LOAN_PAYMENTS_CREDIT_CARD_PAYMENT,LOW,wM7alQolMmFxLPdRKnWXFNB4z6mMrnuP1K8kx,special
9,NvxzNa9NvDCnXvGBr9NjhlPlqqjQWxuy6pnQ6,5.4,2024-09-20,22016000,2024-09-21,USD,Uber,Uber 063015 SF**POOL**,online,False,TRANSPORTATION,TRANSPORTATION_TAXIS_AND_RIDE_SHARES,VERY_HIGH,vZjdDekDZnFANaol9GzBULqxmDl95WuqZVd8y,special
